"Notes"	"OE Gestational Age Weekly"	"OE Gestational Age Weekly Code"	"Month Prenatal Care Began"	"Month Prenatal Care Began Code"	"Year of Death"	"Year of Death Code"	Deaths	Births	Death Rate
"Total"	"25 weeks"	"25"	"10th month"	"10"			0	0	0.00
"Total"	"25 weeks"	"25"					3054	14473	211.01
	"26 weeks"	"26"	"No prenatal care"	"00"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"No prenatal care"	"00"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"No prenatal care"	"00"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"No prenatal care"	"00"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"No prenatal care"	"00"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"No prenatal care"	"00"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"No prenatal care"	"00"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"No prenatal care"	"00"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"No prenatal care"	"00"	"2015"	"2015"	57	278	205.04
	"26 weeks"	"26"	"No prenatal care"	"00"	"2016"	"2016"	38	299	127.09
	"26 weeks"	"26"	"No prenatal care"	"00"	"2017"	"2017"	50	347	144.09
	"26 weeks"	"26"	"No prenatal care"	"00"	"2018"	"2018"	66	375	176.00
"Total"	"26 weeks"	"26"	"No prenatal care"	"00"			211	1299	162.43
	"26 weeks"	"26"	"1st month"	"01"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"1st month"	"01"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"1st month"	"01"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"1st month"	"01"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"1st month"	"01"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"1st month"	"01"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"1st month"	"01"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"1st month"	"01"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"1st month"	"01"	"2015"	"2015"	69	581	118.76
	"26 weeks"	"26"	"1st month"	"01"	"2016"	"2016"	75	556	134.89
	"26 weeks"	"26"	"1st month"	"01"	"2017"	"2017"	59	554	106.50
	"26 weeks"	"26"	"1st month"	"01"	"2018"	"2018"	49	470	104.26
"Total"	"26 weeks"	"26"	"1st month"	"01"			253	2161	117.08
	"26 weeks"	"26"	"2nd month"	"02"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"2nd month"	"02"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"2nd month"	"02"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"2nd month"	"02"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"2nd month"	"02"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"2nd month"	"02"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"2nd month"	"02"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"2nd month"	"02"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"2nd month"	"02"	"2015"	"2015"	226	1587	142.41
	"26 weeks"	"26"	"2nd month"	"02"	"2016"	"2016"	176	1520	115.79
	"26 weeks"	"26"	"2nd month"	"02"	"2017"	"2017"	206	1590	129.56
	"26 weeks"	"26"	"2nd month"	"02"	"2018"	"2018"	192	1489	128.95
"Total"	"26 weeks"	"26"	"2nd month"	"02"			799	6186	129.16
	"26 weeks"	"26"	"3rd month"	"03"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"3rd month"	"03"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"3rd month"	"03"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"3rd month"	"03"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"3rd month"	"03"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"3rd month"	"03"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"3rd month"	"03"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"3rd month"	"03"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"3rd month"	"03"	"2015"	"2015"	180	1043	172.58
	"26 weeks"	"26"	"3rd month"	"03"	"2016"	"2016"	153	1033	148.11
	"26 weeks"	"26"	"3rd month"	"03"	"2017"	"2017"	125	1068	117.04
	"26 weeks"	"26"	"3rd month"	"03"	"2018"	"2018"	119	1007	118.17
"Total"	"26 weeks"	"26"	"3rd month"	"03"			577	4151	139.00
	"26 weeks"	"26"	"4th month"	"04"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"4th month"	"04"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"4th month"	"04"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"4th month"	"04"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"4th month"	"04"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"4th month"	"04"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"4th month"	"04"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"4th month"	"04"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"4th month"	"04"	"2015"	"2015"	58	369	157.18
	"26 weeks"	"26"	"4th month"	"04"	"2016"	"2016"	59	330	178.79
	"26 weeks"	"26"	"4th month"	"04"	"2017"	"2017"	59	345	171.01
	"26 weeks"	"26"	"4th month"	"04"	"2018"	"2018"	40	323	123.84
"Total"	"26 weeks"	"26"	"4th month"	"04"			217	1367	158.74
	"26 weeks"	"26"	"5th month"	"05"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"5th month"	"05"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"5th month"	"05"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"5th month"	"05"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"5th month"	"05"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"5th month"	"05"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"5th month"	"05"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"5th month"	"05"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"5th month"	"05"	"2015"	"2015"	32	189	169.31
	"26 weeks"	"26"	"5th month"	"05"	"2016"	"2016"	25	222	112.61
	"26 weeks"	"26"	"5th month"	"05"	"2017"	"2017"	40	189	211.64
	"26 weeks"	"26"	"5th month"	"05"	"2018"	"2018"	31	182	170.33
"Total"	"26 weeks"	"26"	"5th month"	"05"			129	782	164.96
	"26 weeks"	"26"	"6th month"	"06"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"6th month"	"06"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"6th month"	"06"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"6th month"	"06"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"6th month"	"06"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"6th month"	"06"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"6th month"	"06"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"6th month"	"06"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"6th month"	"06"	"2015"	"2015"	22	119	184.87
	"26 weeks"	"26"	"6th month"	"06"	"2016"	"2016"	24	126	190.48
	"26 weeks"	"26"	"6th month"	"06"	"2017"	"2017"	25	123	203.25
	"26 weeks"	"26"	"6th month"	"06"	"2018"	"2018"	15	119	126.05 (Unreliable)
"Total"	"26 weeks"	"26"	"6th month"	"06"			86	487	176.59
	"26 weeks"	"26"	"7th month"	"07"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"7th month"	"07"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"7th month"	"07"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"7th month"	"07"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"7th month"	"07"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"7th month"	"07"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"7th month"	"07"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"7th month"	"07"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"7th month"	"07"	"2015"	"2015"	0	0	0.00
	"26 weeks"	"26"	"7th month"	"07"	"2016"	"2016"	0	0	0.00
	"26 weeks"	"26"	"7th month"	"07"	"2017"	"2017"	0	0	0.00
	"26 weeks"	"26"	"7th month"	"07"	"2018"	"2018"	0	0	0.00
"Total"	"26 weeks"	"26"	"7th month"	"07"			0	0	0.00
	"26 weeks"	"26"	"8th month"	"08"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"8th month"	"08"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"8th month"	"08"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"8th month"	"08"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"8th month"	"08"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"8th month"	"08"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"8th month"	"08"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"8th month"	"08"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"8th month"	"08"	"2015"	"2015"	0	0	0.00
	"26 weeks"	"26"	"8th month"	"08"	"2016"	"2016"	0	0	0.00
	"26 weeks"	"26"	"8th month"	"08"	"2017"	"2017"	0	0	0.00
	"26 weeks"	"26"	"8th month"	"08"	"2018"	"2018"	0	0	0.00
"Total"	"26 weeks"	"26"	"8th month"	"08"			0	0	0.00
	"26 weeks"	"26"	"9th month"	"09"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"9th month"	"09"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"9th month"	"09"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"9th month"	"09"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"9th month"	"09"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"9th month"	"09"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"9th month"	"09"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"9th month"	"09"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"9th month"	"09"	"2015"	"2015"	0	0	0.00
	"26 weeks"	"26"	"9th month"	"09"	"2016"	"2016"	0	0	0.00
	"26 weeks"	"26"	"9th month"	"09"	"2017"	"2017"	0	0	0.00
	"26 weeks"	"26"	"9th month"	"09"	"2018"	"2018"	0	0	0.00
"Total"	"26 weeks"	"26"	"9th month"	"09"			0	0	0.00
	"26 weeks"	"26"	"10th month"	"10"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"10th month"	"10"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"10th month"	"10"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"10th month"	"10"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"10th month"	"10"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"10th month"	"10"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"10th month"	"10"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"10th month"	"10"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"26 weeks"	"26"	"10th month"	"10"	"2015"	"2015"	0	0	0.00
	"26 weeks"	"26"	"10th month"	"10"	"2016"	"2016"	0	0	0.00
	"26 weeks"	"26"	"10th month"	"10"	"2017"	"2017"	0	0	0.00
	"26 weeks"	"26"	"10th month"	"10"	"2018"	"2018"	0	0	0.00
"Total"	"26 weeks"	"26"	"10th month"	"10"			0	0	0.00
"Total"	"26 weeks"	"26"					2273	16433	138.32
	"27 weeks"	"27"	"No prenatal care"	"00"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"No prenatal care"	"00"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"No prenatal care"	"00"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"No prenatal care"	"00"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"No prenatal care"	"00"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"No prenatal care"	"00"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"No prenatal care"	"00"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"No prenatal care"	"00"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"No prenatal care"	"00"	"2015"	"2015"	28	283	98.94
	"27 weeks"	"27"	"No prenatal care"	"00"	"2016"	"2016"	40	359	111.42
	"27 weeks"	"27"	"No prenatal care"	"00"	"2017"	"2017"	52	370	140.54
	"27 weeks"	"27"	"No prenatal care"	"00"	"2018"	"2018"	43	349	123.21
"Total"	"27 weeks"	"27"	"No prenatal care"	"00"			164	1361	120.50
	"27 weeks"	"27"	"1st month"	"01"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"1st month"	"01"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"1st month"	"01"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"1st month"	"01"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"1st month"	"01"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"1st month"	"01"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"1st month"	"01"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"1st month"	"01"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"1st month"	"01"	"2015"	"2015"	45	641	70.20
	"27 weeks"	"27"	"1st month"	"01"	"2016"	"2016"	36	571	63.05
	"27 weeks"	"27"	"1st month"	"01"	"2017"	"2017"	51	593	86.00
	"27 weeks"	"27"	"1st month"	"01"	"2018"	"2018"	47	540	87.04
"Total"	"27 weeks"	"27"	"1st month"	"01"			180	2345	76.76
	"27 weeks"	"27"	"2nd month"	"02"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"2nd month"	"02"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"2nd month"	"02"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"2nd month"	"02"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"2nd month"	"02"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"2nd month"	"02"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"2nd month"	"02"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"2nd month"	"02"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"2nd month"	"02"	"2015"	"2015"	161	1676	96.06
	"27 weeks"	"27"	"2nd month"	"02"	"2016"	"2016"	149	1735	85.88
	"27 weeks"	"27"	"2nd month"	"02"	"2017"	"2017"	157	1792	87.61
	"27 weeks"	"27"	"2nd month"	"02"	"2018"	"2018"	166	1809	91.76
"Total"	"27 weeks"	"27"	"2nd month"	"02"			632	7012	90.13
	"27 weeks"	"27"	"3rd month"	"03"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"3rd month"	"03"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"3rd month"	"03"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"3rd month"	"03"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"3rd month"	"03"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"3rd month"	"03"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"3rd month"	"03"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"3rd month"	"03"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"3rd month"	"03"	"2015"	"2015"	105	1169	89.82
	"27 weeks"	"27"	"3rd month"	"03"	"2016"	"2016"	114	1222	93.29
	"27 weeks"	"27"	"3rd month"	"03"	"2017"	"2017"	117	1224	95.59
	"27 weeks"	"27"	"3rd month"	"03"	"2018"	"2018"	110	1181	93.14
"Total"	"27 weeks"	"27"	"3rd month"	"03"			446	4796	92.99
	"27 weeks"	"27"	"4th month"	"04"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"4th month"	"04"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"4th month"	"04"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"4th month"	"04"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"4th month"	"04"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"4th month"	"04"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"4th month"	"04"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"4th month"	"04"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"4th month"	"04"	"2015"	"2015"	43	422	101.90
	"27 weeks"	"27"	"4th month"	"04"	"2016"	"2016"	44	406	108.37
	"27 weeks"	"27"	"4th month"	"04"	"2017"	"2017"	47	422	111.37
	"27 weeks"	"27"	"4th month"	"04"	"2018"	"2018"	38	360	105.56
"Total"	"27 weeks"	"27"	"4th month"	"04"			173	1610	107.45
	"27 weeks"	"27"	"5th month"	"05"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"5th month"	"05"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"5th month"	"05"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"5th month"	"05"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"5th month"	"05"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"5th month"	"05"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"5th month"	"05"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"5th month"	"05"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"5th month"	"05"	"2015"	"2015"	26	251	103.59
	"27 weeks"	"27"	"5th month"	"05"	"2016"	"2016"	27	226	119.47
	"27 weeks"	"27"	"5th month"	"05"	"2017"	"2017"	33	236	139.83
	"27 weeks"	"27"	"5th month"	"05"	"2018"	"2018"	20	259	77.22
"Total"	"27 weeks"	"27"	"5th month"	"05"			107	972	110.08
	"27 weeks"	"27"	"6th month"	"06"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"6th month"	"06"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"6th month"	"06"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"6th month"	"06"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"6th month"	"06"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"6th month"	"06"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"6th month"	"06"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"6th month"	"06"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"6th month"	"06"	"2015"	"2015"	16	139	115.11 (Unreliable)
	"27 weeks"	"27"	"6th month"	"06"	"2016"	"2016"	19	176	107.95 (Unreliable)
	"27 weeks"	"27"	"6th month"	"06"	"2017"	"2017"	15	134	111.94 (Unreliable)
	"27 weeks"	"27"	"6th month"	"06"	"2018"	"2018"	17	148	114.86 (Unreliable)
"Total"	"27 weeks"	"27"	"6th month"	"06"			67	597	112.23
	"27 weeks"	"27"	"7th month"	"07"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"7th month"	"07"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"7th month"	"07"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"7th month"	"07"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"7th month"	"07"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"7th month"	"07"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"7th month"	"07"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"7th month"	"07"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"7th month"	"07"	"2015"	"2015"	0	12	0.00
	"27 weeks"	"27"	"7th month"	"07"	"2016"	"2016"	1	9	111.11 (Unreliable)
	"27 weeks"	"27"	"7th month"	"07"	"2017"	"2017"	2	10	200.00 (Unreliable)
	"27 weeks"	"27"	"7th month"	"07"	"2018"	"2018"	3	11	272.73 (Unreliable)
"Total"	"27 weeks"	"27"	"7th month"	"07"			6	42	142.86 (Unreliable)
	"27 weeks"	"27"	"8th month"	"08"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"8th month"	"08"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"8th month"	"08"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"8th month"	"08"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"8th month"	"08"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"8th month"	"08"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"8th month"	"08"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"8th month"	"08"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"8th month"	"08"	"2015"	"2015"	0	0	0.00
	"27 weeks"	"27"	"8th month"	"08"	"2016"	"2016"	0	0	0.00
	"27 weeks"	"27"	"8th month"	"08"	"2017"	"2017"	0	0	0.00
	"27 weeks"	"27"	"8th month"	"08"	"2018"	"2018"	0	0	0.00
"Total"	"27 weeks"	"27"	"8th month"	"08"			0	0	0.00
	"27 weeks"	"27"	"9th month"	"09"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"9th month"	"09"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"27 weeks"	"27"	"9th month"	"09"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
