Category,Indicator,Year,SampleSize,Prevalence,CI,State
Substance Use,Any cigarette smoking during the last 3 months of pregnancy,2013,1453,8.3,(6.3-10.9),Massachusetts
Substance Use,Any cigarette smoking during the last 3 months of pregnancy,2014,1529,5.7,(4.3-7.6),Massachusetts
Substance Use,Any cigarette smoking during the last 3 months of pregnancy,2015,1312,5.2,(3.9-7.1),Massachusetts
Substance Use,Any cigarette smoking postpartum,2012,1506,12.5,(10.2-15.3),Massachusetts
Substance Use,Any cigarette smoking postpartum,2013,1453,11.2,(8.9-14.0),Massachusetts
Substance Use,Any cigarette smoking postpartum,2014,1530,8.5,(6.7-10.7),Massachusetts
Substance Use,Any cigarette smoking postpartum,2015,1313,8.5,(6.7-10.8),Massachusetts
Substance Use,Any alcohol use during the 3 months before pregnancy,2012,1506,64.2,(61.2-67.1),Massachusetts
Substance Use,Any alcohol use during the 3 months before pregnancy,2013,1446,62.4,(59.1-65.6),Massachusetts
Substance Use,Any alcohol use during the 3 months before pregnancy,2014,1524,64.6,(61.6-67.4),Massachusetts
Substance Use,Any alcohol use during the 3 months before pregnancy,2015,1308,66.9,(64.0-69.6),Massachusetts
Substance Use,Any alcohol use during the last 3 months of pregnancy,2012,1505,11.0,(9.0-13.3),Massachusetts
Substance Use,Any alcohol use during the last 3 months of pregnancy,2013,1444,12.3,(10.1-14.9),Massachusetts
Substance Use,Any alcohol use during the last 3 months of pregnancy,2014,1526,12.5,(10.4-14.9),Massachusetts
Substance Use,Any alcohol use during the last 3 months of pregnancy,2015,1308,11.8,(9.7-14.2),Massachusetts
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy,2012,1511,2.3,(1.4-3.7),Massachusetts
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy,2013,1455,1.8,(1.1-3.0),Massachusetts
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy,2014,1528,1.3,(0.8-2.2),Massachusetts
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy,2015,1311,1.6,(0.9-2.6),Massachusetts
Intimate Partner Violence (IPV),Experienced IPV during pregnancy,2012,1511,2.2,(1.3-3.7),Massachusetts
Intimate Partner Violence (IPV),Experienced IPV during pregnancy,2013,1456,1.0,(0.6-1.8),Massachusetts
Intimate Partner Violence (IPV),Experienced IPV during pregnancy,2014,1527,1.4,(0.8-2.5),Massachusetts
Intimate Partner Violence (IPV),Experienced IPV during pregnancy,2015,1309,1.4,(0.9-2.3),Massachusetts
Depression,Told by a provider had depression before pregnancy,2012,1513,15.2,(12.7-18.1),Massachusetts
Depression,Told by a provider had depression before pregnancy,2013,1439,10.7,(8.5-13.3),Massachusetts
Depression,Told by a provider had depression before pregnancy,2014,1504,11.5,(9.4-13.9),Massachusetts
Depression,Told by a provider had depression before pregnancy,2015,1302,11.7,(9.6-14.1),Massachusetts
Depression,Self-reported postpartum depressive symptoms,2012,1479,12.1,(10.1-14.4),Massachusetts
Depression,Self-reported postpartum depressive symptoms,2013,1445,12.0,(9.8-14.5),Massachusetts
Depression,Self-reported postpartum depressive symptoms,2014,1507,10.3,(8.5-12.3),Massachusetts
Depression,Self-reported postpartum depressive symptoms,2015,1293,10.3,(8.5-12.4),Massachusetts
Pregnancy Intention and Family Planning,Mistimed/unwanted pregnancy,2012,1319,26.8,(23.7-30.1),Massachusetts
Pregnancy Intention and Family Planning,Mistimed/unwanted pregnancy,2013,1262,26.4,(23.3-29.8),Massachusetts
Pregnancy Intention and Family Planning,Mistimed/unwanted pregnancy,2014,1313,24.5,(21.7-27.6),Massachusetts
Pregnancy Intention and Family Planning,Mistimed/unwanted pregnancy,2015,1131,24.6,(21.7-27.9),Massachusetts
Pregnancy Intention and Family Planning,Unsure about pregnancy,2012,1510,11.2,(9.3-13.4),Massachusetts
Pregnancy Intention and Family Planning,Unsure about pregnancy,2013,1438,12.0,(9.8-14.6),Massachusetts
Pregnancy Intention and Family Planning,Unsure about pregnancy,2014,1516,11.5,(9.6-13.8),Massachusetts
Pregnancy Intention and Family Planning,Unsure about pregnancy,2015,1302,10.7,(8.9-12.8),Massachusetts
Pregnancy Intention and Family Planning,Postpartum contraceptive use,2012,1489,78.1,(75.2-80.8),Massachusetts
Pregnancy Intention and Family Planning,Postpartum contraceptive use,2013,1447,81.8,(79.0-84.3),Massachusetts
Pregnancy Intention and Family Planning,Postpartum contraceptive use,2014,1509,79.9,(77.1-82.4),Massachusetts
Pregnancy Intention and Family Planning,Postpartum contraceptive use,2015,1305,81.7,(79.0-84.1),Massachusetts
Health Care Services,Talked to provider about improving health before pregnancy,2012,1522,28.7,(25.8-31.7),Massachusetts
Health Care Services,Talked to provider about improving health before pregnancy,2013,1456,29.2,(26.1-32.4),Massachusetts
Health Care Services,Talked to provider about improving health before pregnancy,2014,1526,30.0,(27.1-33.1),Massachusetts
Health Care Services,Talked to provider about improving health before pregnancy,2015,1309,27.1,(24.4-30.1),Massachusetts
Health Care Services,Began prenatal care in 1st trimester,2012,1492,90.6,(88.7-92.2),Massachusetts
Health Care Services,Began prenatal care in 1st trimester,2013,1436,92.2,(90.3-93.8),Massachusetts
Health Care Services,Began prenatal care in 1st trimester,2014,1507,91.7,(89.8-93.2),Massachusetts
Health Care Services,Began prenatal care in 1st trimester,2015,1300,90.1,(87.9-91.9),Massachusetts
Health Care Services,Took childbirth class,2012,1503,24.9,(22.2-27.9),Massachusetts
Health Care Services,Took childbirth class,2013,1450,24.5,(21.6-27.6),Massachusetts
Health Care Services,Took childbirth class,2014,1528,24.9,(22.1-27.9),Massachusetts
Health Care Services,Took childbirth class,2015,1311,25.9,(23.1-29.0),Massachusetts
Health Care Services,Had home visitor during pregnancy,2012,1501,5.5,(4.3-7.0),Massachusetts
Health Care Services,Had home visitor during pregnancy,2013,1452,6.0,(4.5-7.9),Massachusetts
Health Care Services,Had home visitor during pregnancy,2014,1527,5.8,(4.6-7.3),Massachusetts
Health Care Services,Had home visitor during pregnancy,2015,1314,5.9,(4.6-7.5),Massachusetts
Health Care Services,Had flu shot before or during pregnancy,2012,1473,66.3,(62.9-69.5),Massachusetts
Health Care Services,Had flu shot before or during pregnancy,2013,1407,71.3,(67.9-74.6),Massachusetts
Health Care Services,Had flu shot before or during pregnancy,2014,1503,72.1,(68.9-75.1),Massachusetts
Health Care Services,Had flu shot before or during pregnancy,2015,1284,75.6,(72.6-78.4),Massachusetts
Health Care Services,Had maternal postpartum checkup,2012,1493,93.9,(92.1-95.3),Massachusetts
Health Care Services,Had maternal postpartum checkup,2013,1449,93.2,(91.2-94.8),Massachusetts
Health Care Services,Had maternal postpartum checkup,2014,1517,94.2,(92.6-95.4),Massachusetts
Health Care Services,Had maternal postpartum checkup,2015,1308,91.9,(89.9-93.6),Massachusetts
Oral Health,Teeth cleaned during 12 months before pregnancy,2012,1528,70.5,(67.4-73.4),Massachusetts
Oral Health,Teeth cleaned during 12 months before pregnancy,2013,1463,72.5,(69.4-75.5),Massachusetts
Oral Health,Teeth cleaned during 12 months before pregnancy,2014,1533,71.0,(67.9-73.8),Massachusetts
Oral Health,Teeth cleaned during 12 months before pregnancy,2015,1320,70.3,(67.2-73.2),Massachusetts
Oral Health,Teeth cleaned during pregnancy,2012,1494,63.0,(59.7-66.2),Massachusetts
Oral Health,Teeth cleaned during pregnancy,2013,1442,61.9,(58.5-65.3),Massachusetts
Oral Health,Teeth cleaned during pregnancy,2014,1517,62.4,(59.1-65.5),Massachusetts
Oral Health,Teeth cleaned during pregnancy,2015,1308,62.2,(58.9-65.3),Massachusetts
Oral Health,Had dental insurance during pregnancy,2012,1480,80.5,(77.6-83.1),Massachusetts
Oral Health,Had dental insurance during pregnancy,2013,1424,81.9,(79.1-84.4),Massachusetts
Oral Health,Had dental insurance during pregnancy,2014,1508,83.5,(80.8-85.8),Massachusetts
Oral Health,Had dental insurance during pregnancy,2015,1295,84.7,(82.0-87.0),Massachusetts
Pre-pregnancy Health Insurance Status,Private insurance,2012,1485,63.5,(60.3-66.6),Massachusetts
Pre-pregnancy Health Insurance Status,Private insurance,2013,1394,66.9,(63.6-70.0),Massachusetts
Pre-pregnancy Health Insurance Status,Private insurance,2014,1456,65.4,(62.3-68.4),Massachusetts
Pre-pregnancy Health Insurance Status,Private insurance,2015,1289,65.0,(62.0-67.9),Massachusetts
Pre-pregnancy Health Insurance Status,Medicaid,2012,1485,27.1,(24.4-30.1),Massachusetts
Pre-pregnancy Health Insurance Status,Medicaid,2013,1394,25.3,(22.5-28.4),Massachusetts
Pre-pregnancy Health Insurance Status,Medicaid,2014,1456,27.2,(24.5-30.2),Massachusetts
Pre-pregnancy Health Insurance Status,Medicaid,2015,1289,30.5,(27.7-33.4),Massachusetts
Pre-pregnancy Health Insurance Status,No insurance,2012,1485,5.3,(3.9-7.2),Massachusetts
Pre-pregnancy Health Insurance Status,No insurance,2013,1394,4.4,(3.3-6.0),Massachusetts
Pre-pregnancy Health Insurance Status,No insurance,2014,1456,3.8,(2.7-5.3),Massachusetts
Pre-pregnancy Health Insurance Status,No insurance,2015,1289,2.7,(1.9-3.9),Massachusetts
Health Insurance Status During Pregnancy,Private insurance,2012,1465,62.5,(59.3-65.6),Massachusetts
Health Insurance Status During Pregnancy,Private insurance,2013,1412,64.4,(61.2-67.6),Massachusetts
Health Insurance Status During Pregnancy,Private insurance,2014,1464,64.3,(61.2-67.3),Massachusetts
Health Insurance Status During Pregnancy,Private insurance,2015,1285,63.8,(60.8-66.8),Massachusetts
Health Insurance Status During Pregnancy,Medicaid,2012,1465,35.1,(32.0-38.2),Massachusetts
Health Insurance Status During Pregnancy,Medicaid,2013,1412,32.2,(29.2-35.4),Massachusetts
Health Insurance Status During Pregnancy,Medicaid,2014,1464,33.3,(30.4-36.3),Massachusetts
Health Insurance Status During Pregnancy,Medicaid,2015,1285,34.3,(31.5-37.3),Massachusetts
Health Insurance Status During Pregnancy,No insurance,2012,1510,0.7,(0.3-1.5),Massachusetts
Health Insurance Status During Pregnancy,No insurance,2013,1455,0.9,(0.4-1.9),Massachusetts
Health Insurance Status During Pregnancy,No insurance,2014,1526,0.4,(0.2-0.7),Massachusetts
Health Insurance Status During Pregnancy,No insurance,2015,1309,0.6,(0.2-1.4),Massachusetts
Health Insurance Status Postpartum,Private insurance,2012,1453,61.1,(57.9-64.3),Massachusetts
Health Insurance Status Postpartum,Private insurance,2013,1418,62.1,(58.7-65.3),Massachusetts
Health Insurance Status Postpartum,Private insurance,2014,1486,62.1,(59.0-65.0),Massachusetts
Health Insurance Status Postpartum,Private insurance,2015,1280,60.8,(57.7-63.9),Massachusetts
Health Insurance Status Postpartum,Medicaid,2012,1453,33.7,(30.6-36.8),Massachusetts
Health Insurance Status Postpartum,Medicaid,2013,1418,33.3,(30.2-36.6),Massachusetts
Health Insurance Status Postpartum,Medicaid,2014,1486,35.3,(32.4-38.3),Massachusetts
Health Insurance Status Postpartum,Medicaid,2015,1280,36.9,(33.9-40.0),Massachusetts
Health Insurance Status Postpartum,No insurance,2012,1507,2.1,(1.3-3.3),Massachusetts
Health Insurance Status Postpartum,No insurance,2013,1459,1.8,(1.2-2.9),Massachusetts
Health Insurance Status Postpartum,No insurance,2014,1529,0.8,(0.4-1.4),Massachusetts
Health Insurance Status Postpartum,No insurance,2015,1313,1.1,(0.6-2.2),Massachusetts
Infant Sleep Practices,Baby most often laid on back to sleep,2012,1473,80.0,(77.3-82.4),Massachusetts
Infant Sleep Practices,Baby most often laid on back to sleep,2013,1424,82.7,(80.1-85.0),Massachusetts
Infant Sleep Practices,Baby most often laid on back to sleep,2014,1484,85.1,(82.7-87.2),Massachusetts
Infant Sleep Practices,Baby most often laid on back to sleep,2015,1278,85.8,(83.5-87.9),Massachusetts
Breastfeeding Practices,Ever breastfed,2012,1491,86.8,(84.1-89.1),Massachusetts
Breastfeeding Practices,Ever breastfed,2013,1440,87.5,(84.6-89.8),Massachusetts
Breastfeeding Practices,Ever breastfed,2014,1501,90.4,(88.1-92.3),Massachusetts
Breastfeeding Practices,Ever breastfed,2015,1282,90.4,(88.0-92.4),Massachusetts
Breastfeeding Practices,Any breastfeeding at 8 weeks,2012,1481,70.4,(67.1-73.5),Massachusetts
Breastfeeding Practices,Any breastfeeding at 8 weeks,2013,1429,68.5,(65.0-71.8),Massachusetts
Breastfeeding Practices,Any breastfeeding at 8 weeks,2014,1483,72.7,(69.6-75.7),Massachusetts
Breastfeeding Practices,Any breastfeeding at 8 weeks,2015,1279,73.7,(70.6-76.6),Massachusetts
Nutrition and Exercise,Multivitamin use > 4 days a week during the month before pregnancy,2012,1980,37.1,(34.2-40.0),Michigan
Nutrition and Exercise,Multivitamin use > 4 days a week during the month before pregnancy,2013,2016,36.5,(33.6-39.5),Michigan
Nutrition and Exercise,Multivitamin use > 4 days a week during the month before pregnancy,2015,1588,38.9,(35.9-42.0),Michigan
Nutrition and Exercise,Dieting during the 12 months before pregnancy,2012,1969,28.6,(26.0-31.4),Michigan
Nutrition and Exercise,Dieting during the 12 months before pregnancy,2013,2008,31.0,(28.2-34.0),Michigan
Nutrition and Exercise,Dieting during the 12 months before pregnancy,2015,1573,29.7,(26.9-32.7),Michigan
Nutrition and Exercise,Exercising > 3 days a week during the 12 months before pregnancy,2012,1971,44.1,(41.1-47.1),Michigan
Nutrition and Exercise,Exercising > 3 days a week during the 12 months before pregnancy,2013,2004,43.6,(40.6-46.7),Michigan
Nutrition and Exercise,Exercising > 3 days a week during the 12 months before pregnancy,2015,1578,44.5,(41.4-47.7),Michigan
Pre-pregnancy Weight,Underweight (BMI<18.5),2012,1931,3.1,(2.2-4.3),Michigan
Pre-pregnancy Weight,Underweight (BMI<18.5),2013,1962,4.3,(3.1-5.9),Michigan
Pre-pregnancy Weight,Underweight (BMI<18.5),2015,1540,3.2,(2.3-4.4),Michigan
Pre-pregnancy Weight,Overweight (BMI 25-29.9),2012,1931,22.2,(19.8-24.8),Michigan
Pre-pregnancy Weight,Overweight (BMI 25-29.9),2013,1962,26.3,(23.6-29.1),Michigan
Pre-pregnancy Weight,Overweight (BMI 25-29.9),2015,1540,22.9,(20.3-25.7),Michigan
Pre-pregnancy Weight,Obese (BMI >30),2012,1931,26.2,(23.6-29.0),Michigan
Pre-pregnancy Weight,Obese (BMI >30),2013,1962,23.0,(20.6-25.7),Michigan
Pre-pregnancy Weight,Obese (BMI >30),2015,1540,25.4,(22.8-28.3),Michigan
Substance Use,Any cigarette smoking during the 3 months before pregnancy,2012,1956,31.0,(28.2-34.0),Michigan
Substance Use,Any cigarette smoking during the 3 months before pregnancy,2013,1999,27.0,(24.3-29.9),Michigan
Substance Use,Any cigarette smoking during the 3 months before pregnancy,2015,1557,25.0,(22.3-28.0),Michigan
Substance Use,Any cigarette smoking during the last 3 months of pregnancy,2012,1961,16.5,(14.3-19.0),Michigan
Substance Use,Any cigarette smoking during the last 3 months of pregnancy,2013,2006,13.5,(11.5-15.9),Michigan
Substance Use,Any cigarette smoking during the last 3 months of pregnancy,2015,1563,13.3,(11.2-15.8),Michigan
Substance Use,Any cigarette smoking postpartum,2012,1960,22.6,(20.1-25.4),Michigan
Substance Use,Any cigarette smoking postpartum,2013,2004,19.0,(16.6-21.6),Michigan
Substance Use,Any cigarette smoking postpartum,2015,1563,17.8,(15.4-20.5),Michigan
Substance Use,Any alcohol use during the 3 months before pregnancy,2012,1958,62.0,(59.0-64.9),Michigan
Substance Use,Any alcohol use during the 3 months before pregnancy,2013,1988,63.3,(60.3-66.2),Michigan
Substance Use,Any alcohol use during the 3 months before pregnancy,2015,1555,64.3,(61.3-67.3),Michigan
Substance Use,Any alcohol use during the last 3 months of pregnancy,2012,1957,6.1,(4.9-7.7),Michigan
Substance Use,Any alcohol use during the last 3 months of pregnancy,2013,1992,7.1,(5.7-8.9),Michigan
Substance Use,Any alcohol use during the last 3 months of pregnancy,2015,1558,6.2,(4.9-7.9),Michigan
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy,2012,1964,3.1,(2.2-4.2),Michigan
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy,2013,2003,2.4,(1.7-3.5),Michigan
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy,2015,1558,3.5,(2.5-4.9),Michigan
Intimate Partner Violence (IPV),Experienced IPV during pregnancy,2012,1963,2.7,(1.9-3.9),Michigan
Intimate Partner Violence (IPV),Experienced IPV during pregnancy,2013,2004,3.0,(2.2-4.3),Michigan
Intimate Partner Violence (IPV),Experienced IPV during pregnancy,2015,1558,2.8,(1.9-4.0),Michigan
Depression,Told by a provider had depression before pregnancy,2012,1970,11.7,(9.8-13.9),Michigan
Depression,Told by a provider had depression before pregnancy,2013,2005,13.4,(11.3-15.8),Michigan
Depression,Told by a provider had depression before pregnancy,2015,1579,12.6,(10.6-14.9),Michigan
Depression,Self-reported postpartum depressive symptoms,2012,1946,13.8,(11.8-16.0),Michigan
Depression,Self-reported postpartum depressive symptoms,2013,1987,13.3,(11.4-15.6),Michigan
Depression,Self-reported postpartum depressive symptoms,2015,1533,14.1,(12.0-16.5),Michigan
Pregnancy Intention and Family Planning,Mistimed/unwanted pregnancy,2012,1579,37.2,(34.1-40.4),Michigan
Pregnancy Intention and Family Planning,Mistimed/unwanted pregnancy,2013,1608,39.5,(36.2-42.8),Michigan
Pregnancy Intention and Family Planning,Mistimed/unwanted pregnancy,2015,1282,37.3,(34.0-40.6),Michigan
Pregnancy Intention and Family Planning,Unsure about pregnancy,2012,1960,16.8,(14.7-19.2),Michigan
Pregnancy Intention and Family Planning,Unsure about pregnancy,2013,1988,16.0,(13.9-18.4),Michigan
Pregnancy Intention and Family Planning,Unsure about pregnancy,2015,1570,16.7,(14.5-19.2),Michigan
Pregnancy Intention and Family Planning,Postpartum contraceptive use,2012,1933,77.9,(75.3-80.4),Michigan
Pregnancy Intention and Family Planning,Postpartum contraceptive use,2013,1992,80.9,(78.4-83.1),Michigan
Pregnancy Intention and Family Planning,Postpartum contraceptive use,2015,1539,78.1,(75.4-80.6),Michigan
Health Care Services,Talked to provider about improving health before pregnancy,2012,1963,21.9,(19.6-24.5),Michigan
